DNS Performance Testing Tool
Version 2.13.1

[Status] Command line: dnsperf -O verbose-interval-stats -O latency-histogram -m udp -s 127.0.0.1 -d 60000shuf.txt -v
[Status] Sending queries (to 127.0.0.1:53)
[Status] Started at: Thu Dec 14 16:23:47 2023
[Status] Stopping after 1 run through file
> NOERROR www.2-225-153-48.ip176.fastwebnet.it A 0.003842
> NOERROR www.2-229-155-99.ip197.fastwebnet.it A 0.003815
> NOERROR www.139net246.unica.it A 0.003808
> NOERROR www.2-227-33-118.ip184.fastwebnet.it A 0.003801
> NOERROR www.173.76.144.52.dsl.static.ip.kpnqwest.it A 0.003795
> NOERROR www.2-224-90-237.ip169.fastwebnet.it A 0.003861
> NOERROR www.146-241-102-215.dyn.eolo.it A 0.003789
> NOERROR www.2-228-50-49.ip190.fastwebnet.it A 0.003784
> NOERROR www.2-227-210-60.ip187.fastwebnet.it A 0.003856
> NOERROR www.217-133-84-67.static.clienti.tiscali.it A 0.003850
> NOERROR www.11-183-119-85.customer.panservice.it A 0.003843
> NXDOMAIN fwww.sanificazioneconozono.it A 0.003781
> NOERROR www.123456.el-gringo.it A 0.005673
> NOERROR www.195-72-204-167-scr-pzr.bwa.intercom.it A 0.005746
> NOERROR www.151-0-162-2.ip281.fastwebnet.it A 0.005608
> NXDOMAIN fwww.antivirus.overheat.it A 0.005740
> NXDOMAIN fwacanze.it A 0.005743
> NOERROR www.2-225-91-187.ip175.fastwebnet.it A 0.005604
> NOERROR www.2-227-75-17.ip185.fastwebnet.it A 0.005596
> NXDOMAIN fwww.sintonicamente.it A 0.005590
> NOERROR www.2-229-106-191.ip196.fastwebnet.it A 0.005583
> NOERROR www.2-226-240-16.ip183.fastwebnet.it A 0.005737
> NXDOMAIN fwww.heligold.it A 0.005580
> NOERROR www.146-241-171-10.dyn.eolo.it A 0.005574
> NOERROR www.213-140-27-215.ip.fastwebnet.it A 0.005568
> NXDOMAIN fwifi-76-dhcprange-76-175.wifi.unimo.it A 0.005735
> NOERROR www.195.82.168.109.dsl.static.ip.kpnqwest.it A 0.005563
> NOERROR www.2-228-234-4.ip193.fastwebnet.it A 0.005557
> NOERROR www.128-116-164-243.static.eolo.it A 0.005925
> NOERROR www.217-133-48-52.static.clienti.tiscali.it A 0.005745
> NXDOMAIN fviaggi-in-sicilia.it A 0.005919
> NOERROR www.176-110-99-122.ip.campaniacom.it A 0.005739
> NXDOMAIN fwebmail.ci-boh.it A 0.005914
> NOERROR www.2-226-7-103.ip178.fastwebnet.it A 0.005726
> NOERROR www.2-229-92-30.ip196.fastwebnet.it A 0.005909
> NXDOMAIN fwww.otticabesco.italiainweb.it A 0.005722
> NOERROR www.128-116-211-228.dyn.eolo.it A 0.005952
> NOERROR www.217-133-104-142.static.clienti.tiscali.it A 0.005717
> NOERROR www.146-241-5-55.dyn.eolo.it A 0.005946
> NOERROR www.01853cremona.uniarea.it A 0.005711
> NOERROR www.193-35-6-1.ip312.fastwebnet.it A 0.005705
> NOERROR www.2-224-60-42.ip169.fastwebnet.it A 0.005909
> NOERROR www.217-133-204-2.static.clienti.tiscali.it A 0.004556
> NOERROR www.217-133-29-205.static.clienti.tiscali.it A 0.005943
> NXDOMAIN fwww.guest-ramina.it A 0.004627
> NOERROR www.2-229-50-118.ip195.fastwebnet.it A 0.004618
> NOERROR www.2-231-7-44.ip204.fastwebnet.it A 0.003630
> NOERROR www.2-226-221-20.ip182.fastwebnet.it A 0.006024
> NXDOMAIN fwww.valeriadiubaldo.it A 0.005994
> NOERROR www.128-116-194-92.dyn.eolo.it A 0.005988
> NOERROR www.2-231-99-157.ip206.fastwebnet.it A 0.006020
> NXDOMAIN fwww.sangiulianotermevillette.it A 0.006014
> NXDOMAIN fwww.leonardoanatomie.it A 0.006007
> NOERROR www.2-226-147-178.ip181.fastwebnet.it A 0.006002
> NOERROR www.128-116-165-69.dyn.eolo.it A 0.005995
> NOERROR www.2-227-97-189.ip185.fastwebnet.it A 0.005989
> NOERROR www.151-0-228-224.ip283.fastwebnet.it A 0.006638
> NOERROR www.2-226-229-101.ip183.fastwebnet.it A 0.006631
> NOERROR www.2-228-5-112.ip189.fastwebnet.it A 0.006625
> NOERROR www.2-231-100-153.ip206.fastwebnet.it A 0.000261
> NXDOMAIN fwww.m2squared.it A 0.006619
> NOERROR www.217-133-242-157.static.clienti.tiscali.it A 0.006614
> NOERROR www.217-133-163-178.static.clienti.tiscali.it A 0.007024
> NOERROR www.2-231-136-78.ip207.fastwebnet.it A 0.000609
> NOERROR www.2-229-249-122.ip199.fastwebnet.it A 0.000598
> NOERROR www.0452l0321.abakon.it A 0.000588
> NOERROR www.2-226-248-4.ip183.fastwebnet.it A 0.007021
> NXDOMAIN fwebmail.pizzeriailbuongustaio.it A 0.000608
> NOERROR www.2-224-105-204.ip170.fastwebnet.it A 0.007568
> NOERROR www.2-230-51-118.ip200.fastwebnet.it A 0.007587
> NOERROR www.151-0-155-153.ip281.fastwebnet.it A 0.007562
> NOERROR www.2-231-45-63.ip205.fastwebnet.it A 0.007557
> NXDOMAIN fwww.mph4k.wdsrc.it A 0.001142
> NOERROR www.127.75.168.109.cust.ip.kpnqwest.it A 0.007552
> NOERROR www.2-227-54-117.ip184.fastwebnet.it A 0.007787
> NOERROR www.140-190-109-185.customer.panservice.it A 0.001334
> NOERROR www.2-227-141-176.ip186.fastwebnet.it A 0.009702
> NOERROR www.146-241-11-142.dyn.eolo.it A 0.009697
> NOERROR www.2-224-232-225.ip172.fastwebnet.it A 0.003246
> NOERROR www.217-133-183-114.static.clienti.tiscali.it A 0.003235
> NOERROR www.151-0-245-90.ip283.fastwebnet.it A 0.003223
> NOERROR www.2-231-8-10.ip204.fastwebnet.it A 0.009676
> NOERROR www.128-116-211-11.static.eolo.it A 0.009695
> NOERROR www.2-231-228-136.ip209.fastwebnet.it A 0.003216
> NOERROR www.195-135-200-0.ip292.fastwebnet.it A 0.009673
> NOERROR www.146-241-75-100.dyn.eolo.it A 0.003207
> NXDOMAIN ftest.webiplay.it A 0.009668
> NOERROR www.129.48.168.109.dsl.static.ip.kpnqwest.it A 0.003197
> NOERROR www.128-116-145-129.dyn.eolo.it A 0.003185
> NOERROR www.151-0-235-124.ip283.fastwebnet.it A 0.009655
> NOERROR www.128-116-137-44.static.eolo.it A 0.009649
> NOERROR www.146-241-210-32.dyn.eolo.it A 0.009698
> NOERROR www.2-225-84-136.ip174.fastwebnet.it A 0.010087
> NOERROR www.217-133-101-161.static.clienti.tiscali.it A 0.003623
> NOERROR www.185-7-113-199.ip272.fastwebnet.it A 0.003613
> NOERROR www.2-227-2-146.ip183.fastwebnet.it A 0.003602
> NOERROR www.2-228-206-44.ip193.fastwebnet.it A 0.010139
> NXDOMAIN fvm-131-154-162-173.cr.cnaf.infn.it A 0.003592
> NOERROR www.192-121-180-26.inetworking.it A 0.010134
> NOERROR www.176-110-99-96.ip.campaniacom.it A 0.010595
> NOERROR www.2-227-20-116.ip184.fastwebnet.it A 0.010580
> NOERROR www.2-229-2-19.ip194.fastwebnet.it A 0.004053
> NOERROR www.2-225-54-135.ip174.fastwebnet.it A 0.010575
> NOERROR www.146-241-207-117.dyn.eolo.it A 0.004044
> NOERROR www.2-224-8-98.ip168.fastwebnet.it A 0.010562
> NOERROR www.151-0-161-239.ip281.fastwebnet.it A 0.010572
> NOERROR www.151-0-190-74.ip282.fastwebnet.it A 0.003085
> NOERROR www.146-241-147-68.dyn.eolo.it A 0.009422
> NOERROR www.2-224-41-15.ip168.fastwebnet.it A 0.010568
> NOERROR www.2-224-235-246.ip172.fastwebnet.it A 0.003072
> NOERROR www.2-231-157-58.ip207.fastwebnet.it A 0.010781
> NOERROR www.2-229-125-172.ip196.fastwebnet.it A 0.009629
> NOERROR www.213-156-55-114.ip.fastwebnet.it A 0.009971
> NOERROR www.2-229-134-94.ip196.fastwebnet.it A 0.009001
> NOERROR www.2-230-55-86.ip200.fastwebnet.it A 0.003638
> NOERROR www.123.226.netbull.it A 0.006075
> NOERROR www.128-116-129-69.dyn.eolo.it A 0.009984
> NXDOMAIN fwww.pazientefelice.it A 0.003631
> NOERROR www.146-241-242-58.dyn.eolo.it A 0.002113
> NOERROR www.128-116-144-30.dyn.eolo.it A 0.002088
> NXDOMAIN fto-18-66-213.service.infuturo.it A 0.005389
> NOERROR www.2-225-182-149.ip176.fastwebnet.it A 0.002396
> NOERROR www.146-241-91-142.dyn.eolo.it A 0.005358
> NOERROR www.212-124-167-187.dyn.eolo.it A 0.010491
> NXDOMAIN fwww.studiomusicshow.it A 0.005349
> NOERROR www.2-227-219-225.ip188.fastwebnet.it A 0.009510
> NOERROR www.185-134-52-161.ip.campaniacom.it A 0.005586
> NOERROR www.185-22-84-30.ip280.fastwebnet.it A 0.006597
> NOERROR www.2-226-254-247.ip183.fastwebnet.it A 0.006588
> NOERROR www.2-228-246-116.ip194.fastwebnet.it A 0.007010
> NOERROR www.185-63-40-179.wdsl.wifiweb.it A 0.006645
> NXDOMAIN fwww.gruppoavc.it A 0.006632
> NOERROR www.209.86.144.52.dsl.static.ip.kpnqwest.it A 0.006622
> NXDOMAIN fwww.albergocasentino.it A 0.000440
> NOERROR www.128-116-180-27.dyn.eolo.it A 0.006612
> NOERROR www.2-224-102-52.ip170.fastwebnet.it A 0.000428
> NOERROR www.193-27-31-193.ip313.fastwebnet.it A 0.006603
> NOERROR www.2-227-46-44.ip184.fastwebnet.it A 0.000417
> NOERROR www.146-241-61-39.dyn.eolo.it A 0.006584
> NOERROR www.2-228-201-180.ip193.fastwebnet.it A 0.007386
> NOERROR www.217-133-132-197.static.clienti.tiscali.it A 0.001222
> NOERROR www.146-241-200-147.dyn.eolo.it A 0.007377
> NXDOMAIN fwww.intraship-dhl.it A 0.001212
> NOERROR www.217-133-218-3.static.clienti.tiscali.it A 0.001201
> NOERROR www.2-227-91-76.ip185.fastwebnet.it A 0.001192
> NOERROR www.2-228-119-150.ip191.fastwebnet.it A 0.001182
> NOERROR www.2-229-189-221.ip198.fastwebnet.it A 0.008038
> NOERROR www.2-229-21-183.ip194.fastwebnet.it A 0.001798
> NXDOMAIN fwww.dentisticremona.it A 0.008028
> NOERROR www.2-227-37-141.ip184.fastwebnet.it A 0.007997
> NOERROR www.217-133-14-178.static.clienti.tiscali.it A 0.001789
> NOERROR www.2-227-125-229.ip186.fastwebnet.it A 0.008019
> NOERROR www.2-228-255-212.ip194.fastwebnet.it A 0.001780
> NOERROR www.128-116-130-205.static.eolo.it A 0.008009
> NOERROR www.146-241-8-225.dyn.eolo.it A 0.001770
> NXDOMAIN fwww.fix4u.it A 0.007992
> NOERROR www.185-36-74-234.ip277.fastwebnet.it A 0.007982
> NXDOMAIN fwww.gignons.it A 0.008003
> NOERROR www.145.8.141.94.cust.ip.kpnqwest.it A 0.002270
> NOERROR www.2-231-224-110.ip209.fastwebnet.it A 0.002261
> NXDOMAIN fwww.salumificiorosotta.exileart.it A 0.008481
> NOERROR www.2-226-250-232.ip183.fastwebnet.it A 0.002251
> NXDOMAIN fwww.favignanaweb.it A 0.009282
> NOERROR www.2-230-37-2.ip200.fastwebnet.it A 0.009273
> NOERROR www.2-229-84-107.ip195.fastwebnet.it A 0.003022
> NOERROR www.2-231-144-87.ip207.fastwebnet.it A 0.009260
> NOERROR www.146-241-126-206.dyn.eolo.it A 0.009254
> NOERROR www.128-116-225-251.dyn.eolo.it A 0.003014
> NOERROR www.203.187.173.62.cust.ip.kpnqwest.it A 0.001799
> NOERROR www.2-231-13-189.ip204.fastwebnet.it A 0.009255
> NXDOMAIN fwww.castelsenese.it A 0.001788
> NXDOMAIN fwebdisk.tamburinifineart.it A 0.001777
> NOERROR www.2-225-53-45.ip174.fastwebnet.it A 0.009246
> NXDOMAIN fwww.arcibaldo.it A 0.009252
> NOERROR www.146-241-95-201.dyn.eolo.it A 0.001770
> NOERROR www.151-0-225-195.ip283.fastwebnet.it A 0.009239
> NOERROR www.185-36-75-103.ip277.fastwebnet.it A 0.001760
> NOERROR www.217-133-97-20.static.clienti.tiscali.it A 0.009245
> NOERROR www.2-231-244-160.ip209.fastwebnet.it A 0.009822
> NOERROR www.2-224-137-222.ip170.fastwebnet.it A 0.009812
> NOERROR www.2-224-89-139.ip169.fastwebnet.it A 0.009830
> NOERROR www.2-224-232-143.ip172.fastwebnet.it A 0.002342
> NOERROR www.185-182-211-145.airbeam.it A 0.001218
> NOERROR www.195-135-201-253.ip292.fastwebnet.it A 0.001174
> NOERROR www.2-231-51-114.ip205.fastwebnet.it A 0.001163
> NOERROR www.2-230-54-158.ip200.fastwebnet.it A 0.001152
> NOERROR www.217-133-102-118.static.clienti.tiscali.it A 0.009825
> NXDOMAIN fwebdisk.speedy-shop.it A 0.010170
> NXDOMAIN fwebmail.gioiellinascostidivenezia.it A 0.009542
> NOERROR www.217-133-127-83.static.clienti.tiscali.it A 0.001504
> NOERROR www.213-156-43-151.ip.fastwebnet.it A 0.009193
> NOERROR www.2-225-99-59.ip175.fastwebnet.it A 0.010900
> NOERROR www.2016-lago-del-lisci.ycps.it A 0.001940
> NOERROR www.128-116-215-200.dyn.eolo.it A 0.011904
> NOERROR www.146-241-17-164.dyn.eolo.it A 0.010921
> NOERROR www.2-226-89-171.ip180.fastwebnet.it A 0.010937
> NOERROR www.217-133-47-127.static.clienti.tiscali.it A 0.010910
> NOERROR www.2-227-99-188.ip185.fastwebnet.it A 0.001849
> NOERROR www.2-224-110-205.ip170.fastwebnet.it A 0.001837
> NOERROR www.2-227-1-95.ip183.fastwebnet.it A 0.001825
> NOERROR www.128-116-248-164.dyn.eolo.it A 0.001811
> NOERROR www.2-232-177-215.ip213.fastwebnet.it A 0.010930
> NOERROR www.101.35.97.212.dsl.static.ip.kpnqwest.it A 0.009766
> NOERROR www.2-227-142-188.ip186.fastwebnet.it A 0.001801
> NOERROR www.151-0-202-26.ip282.fastwebnet.it A 0.001789
> NOERROR www.2-224-28-241.ip168.fastwebnet.it A 0.010921
> NOERROR www.185-213-115-109.ip304.fastwebnet.it A 0.009183
> NOERROR www.2-227-55-107.ip184.fastwebnet.it A 0.001779
> NOERROR www.2-230-23-220.ip199.fastwebnet.it A 0.011102
> NOERROR www.2-229-7-65.ip194.fastwebnet.it A 0.009384
> NOERROR www.217-133-120-97.static.clienti.tiscali.it A 0.009366
> NOERROR www.2-227-216-134.ip188.fastwebnet.it A 0.001961
> NXDOMAIN fvm3473.cloud.seeweb.it A 0.001027
> NOERROR www.22.122.65.128.dsl.static.ip.kpnqwest.it A 0.006138
> NXDOMAIN ftrameeditoriali.it A 0.006118
> NOERROR www.2-224-211-35.ip172.fastwebnet.it A 0.006105
> NOERROR www.2-231-52-210.ip205.fastwebnet.it A 0.006381
> NOERROR www.2-226-107-212.ip180.fastwebnet.it A 0.006370
