DNS Performance Testing Tool
Version 2.13.1

[Status] Command line: dnsperf -O verbose-interval-stats -O latency-histogram -m tcp -s 127.0.0.1 -d 60000shuf.txt -v
[Status] Sending queries (to 127.0.0.1:53)
[Status] Started at: Thu Dec 14 16:24:26 2023
[Status] Stopping after 1 run through file
> NOERROR www.127.75.168.109.cust.ip.kpnqwest.it A 0.010118
> NOERROR www.2-228-234-4.ip193.fastwebnet.it A 0.009780
> NOERROR www.2-228-206-44.ip193.fastwebnet.it A 0.009838
> NOERROR www.2-231-8-10.ip204.fastwebnet.it A 0.009816
> NOERROR www.217-133-48-52.static.clienti.tiscali.it A 0.009653
> NOERROR www.192-121-180-26.inetworking.it A 0.009684
> NOERROR www.195-135-200-0.ip292.fastwebnet.it A 0.009674
> NOERROR www.176-110-99-122.ip.campaniacom.it A 0.009820
> NOERROR www.176-110-99-96.ip.campaniacom.it A 0.009414
> NXDOMAIN ftest.webiplay.it A 0.009048
> NOERROR www.2-226-7-103.ip178.fastwebnet.it A 0.009035
> NOERROR www.2-227-20-116.ip184.fastwebnet.it A 0.009036
> NOERROR www.151-0-235-124.ip283.fastwebnet.it A 0.009042
> NXDOMAIN fwww.otticabesco.italiainweb.it A 0.009104
> NOERROR www.2-225-54-135.ip174.fastwebnet.it A 0.009094
> NOERROR www.128-116-137-44.static.eolo.it A 0.008813
> NOERROR www.217-133-104-142.static.clienti.tiscali.it A 0.008773
> NOERROR www.151-0-161-239.ip281.fastwebnet.it A 0.008486
> NOERROR www.2-225-84-136.ip174.fastwebnet.it A 0.008721
> NOERROR www.01853cremona.uniarea.it A 0.008693
> NOERROR www.2-224-41-15.ip168.fastwebnet.it A 0.008741
> NOERROR www.2-224-8-98.ip168.fastwebnet.it A 0.008534
> NOERROR www.193-35-6-1.ip312.fastwebnet.it A 0.008554
> NOERROR www.2-231-157-58.ip207.fastwebnet.it A 0.008641
> NOERROR www.146-241-147-68.dyn.eolo.it A 0.008631
> NOERROR www.217-133-204-2.static.clienti.tiscali.it A 0.008484
> NOERROR www.2-229-125-172.ip196.fastwebnet.it A 0.008472
> NOERROR www.128-116-129-69.dyn.eolo.it A 0.008291
> NXDOMAIN fwww.guest-ramina.it A 0.008470
> NOERROR www.213-156-55-114.ip.fastwebnet.it A 0.008313
> NOERROR www.212-124-167-187.dyn.eolo.it A 0.008477
> NOERROR www.2-229-50-118.ip195.fastwebnet.it A 0.008222
> NOERROR www.2-229-134-94.ip196.fastwebnet.it A 0.008371
> NOERROR www.2-227-219-225.ip188.fastwebnet.it A 0.008329
> NOERROR www.2-231-7-44.ip204.fastwebnet.it A 0.008487
> NOERROR www.123.226.netbull.it A 0.008502
> NOERROR www.2-228-246-116.ip194.fastwebnet.it A 0.008531
> NOERROR www.2-231-100-153.ip206.fastwebnet.it A 0.008521
> NXDOMAIN fto-18-66-213.service.infuturo.it A 0.008512
> NOERROR www.185-63-40-179.wdsl.wifiweb.it A 0.008654
> NOERROR www.2-231-136-78.ip207.fastwebnet.it A 0.008393
> NOERROR www.146-241-91-142.dyn.eolo.it A 0.008442
> NXDOMAIN fwww.gruppoavc.it A 0.008952
> NOERROR www.2-229-249-122.ip199.fastwebnet.it A 0.008950
> NXDOMAIN fwww.studiomusicshow.it A 0.008820
> NOERROR www.209.86.144.52.dsl.static.ip.kpnqwest.it A 0.008958
> NOERROR www.0452l0321.abakon.it A 0.008819
> NOERROR www.185-134-52-161.ip.campaniacom.it A 0.008961
> NOERROR www.128-116-180-27.dyn.eolo.it A 0.008654
> NXDOMAIN fwebmail.pizzeriailbuongustaio.it A 0.008534
> NOERROR www.185-22-84-30.ip280.fastwebnet.it A 0.008534
> NOERROR www.193-27-31-193.ip313.fastwebnet.it A 0.008774
> NXDOMAIN fwww.mph4k.wdsrc.it A 0.008768
> NOERROR www.2-226-254-247.ip183.fastwebnet.it A 0.008659
> NOERROR www.2-229-189-221.ip198.fastwebnet.it A 0.008650
> NOERROR www.140-190-109-185.customer.panservice.it A 0.008642
> NOERROR www.146-241-61-39.dyn.eolo.it A 0.008633
> NXDOMAIN fwww.dentisticremona.it A 0.008602
> NOERROR www.2-224-232-225.ip172.fastwebnet.it A 0.008592
> NOERROR www.2-228-201-180.ip193.fastwebnet.it A 0.008512
> NOERROR www.2-227-125-229.ip186.fastwebnet.it A 0.008515
> NOERROR www.217-133-183-114.static.clienti.tiscali.it A 0.008664
> NOERROR www.146-241-200-147.dyn.eolo.it A 0.008658
> NOERROR www.128-116-130-205.static.eolo.it A 0.008820
> NOERROR www.151-0-245-90.ip283.fastwebnet.it A 0.008622
> NOERROR www.2-227-37-141.ip184.fastwebnet.it A 0.008771
> NXDOMAIN fwww.gignons.it A 0.008768
> NOERROR www.2-231-228-136.ip209.fastwebnet.it A 0.008777
> NXDOMAIN fwww.fix4u.it A 0.008767
> NXDOMAIN fwww.favignanaweb.it A 0.008773
> NOERROR www.146-241-75-100.dyn.eolo.it A 0.008781
> NOERROR www.185-36-74-234.ip277.fastwebnet.it A 0.008898
> NOERROR www.2-230-37-2.ip200.fastwebnet.it A 0.008881
> NOERROR www.129.48.168.109.dsl.static.ip.kpnqwest.it A 0.008940
> NXDOMAIN fwww.salumificiorosotta.exileart.it A 0.008956
> NOERROR www.2-231-144-87.ip207.fastwebnet.it A 0.009006
> NOERROR www.128-116-145-129.dyn.eolo.it A 0.008759
> NOERROR www.146-241-126-206.dyn.eolo.it A 0.008999
> NOERROR www.2-231-13-189.ip204.fastwebnet.it A 0.008969
> NOERROR www.217-133-101-161.static.clienti.tiscali.it A 0.009054
> NXDOMAIN fwww.arcibaldo.it A 0.009051
> NOERROR www.2-225-53-45.ip174.fastwebnet.it A 0.008882
> NOERROR www.185-7-113-199.ip272.fastwebnet.it A 0.008976
> NOERROR www.217-133-97-20.static.clienti.tiscali.it A 0.008825
> NOERROR www.151-0-225-195.ip283.fastwebnet.it A 0.009246
> NOERROR www.2-227-2-146.ip183.fastwebnet.it A 0.009064
> NOERROR www.2-224-89-139.ip169.fastwebnet.it A 0.009110
> NOERROR www.2-231-244-160.ip209.fastwebnet.it A 0.008952
> NXDOMAIN fvm-131-154-162-173.cr.cnaf.infn.it A 0.009259
> NOERROR www.217-133-102-118.static.clienti.tiscali.it A 0.009126
> NOERROR www.2-224-137-222.ip170.fastwebnet.it A 0.009460
> NOERROR www.2-229-2-19.ip194.fastwebnet.it A 0.009327
> NOERROR www.2-225-99-59.ip175.fastwebnet.it A 0.009590
> NXDOMAIN fwebdisk.speedy-shop.it A 0.009434
> NOERROR www.146-241-207-117.dyn.eolo.it A 0.009481
> NOERROR www.128-116-215-200.dyn.eolo.it A 0.008879
> NXDOMAIN fwebmail.gioiellinascostidivenezia.it A 0.009018
> NOERROR www.151-0-190-74.ip282.fastwebnet.it A 0.009191
> NOERROR www.2-226-89-171.ip180.fastwebnet.it A 0.009181
> NOERROR www.213-156-43-151.ip.fastwebnet.it A 0.009409
> NOERROR www.2-224-235-246.ip172.fastwebnet.it A 0.009178
> NOERROR www.2-232-177-215.ip213.fastwebnet.it A 0.009210
